host,hub,msg,day,ip,answ
unanime.eu,Unanime,"A titre d'information, si je passe un titre h3 en couleur avec :color et que je fais un lien appelé ""partager"" sur une page facebook, l'article apparaîtra sur l'annonce Facebook avec les références hexadecimales de la couleur.",130102,gw8.ovh.net,
w41k.info,newsnet,"ah oui tiens doncrnvoilà c'est fixé ; (amélioration de 'clean_internal_tags')",130102,imu137.infomaniak.ch,311
unanime.eu,Unanime,"Pour info encore : J'ai bien l'impression que, depuis la série de mises à jour de la fin de l'année, l'importation d'articles fonctionne mieux ! rnJe ne peux toujours pas importer et reproduire simultanément un article directement depuis son url comme autrefois. Mais il s'avère, (à vérifier cependant car je n'importe pas encore  suffisamment d'articles), que je peux corriger autant que je le souhaite, et que pour le moment, ça répond très bien et vite.  (avec AMT à 1200)",130105,gw8.ovh.net,
w41k.info,newsnet,"oui il y a eu des petits correctifs très déterminants ;rnplus AMT est bas plus c'est long à répondre ;rnun résultat excellent est obtenu avec 'save in ajax' à ON ;rnles erreurs d'importation peuvent provenir de l'absence de définitions (vérifier que vous utilisez les defs publiques), ou du fait d'une erreur de copie d'image (alors il faut refresh) ; ",130105,imu137.infomaniak.ch,313
unanime.eu,Unanime,"Bonjour. Quelle possibilité, lorsque l'on ouvre un hyperlien situé sur un article (sur un serveur Philum), d'obtenir le lien dans une nouvelle fenêtre (ou une popup) en conservant l'article de base en vue, sans avoir besoin de faire un ""retour"" sur le browser pour le retrouver ?",130107,gw8.ovh.net,
w41k.info,newsnet,"ben...rn- l'attribut '_blank' est déprécié depuis l'apparition du troisième bouton de la souris... ;rn- la rstr 'ajax mode' permet aux articles du site d'être ouverts dans une popup (connecteur :pub) ;rn- le futur connecteur 'apps' permettra d'appeler une iframe dans une popup ;",130108,imu137.infomaniak.ch,315
unanime.eu,Unanime,"Yes ! Et Thank you!  Mais là je me suis mal expliqué. Exemple concret : lorsque vous êtes sur facebook ou sur d'autres sites, vous ouvrez les liens DANS UNE AUTRE FENÊTRE.rnCe qui vous permet de maintenir votre page de travail. Pour ce faire, vous n'avez qu'à retourner à l'onglet d'à côté.rnJe ne sais si cela est possible techniquement, mais en tous cas je suis sûr que ce serait un plus sur le plan de l'ergonomie. Et qui différencierait Philum de WP et autres...rn(Bravo, au passage, pour le nouveau connecteur apps !) ",130108,gw8.ovh.net,315
w41k.info,newsnet,"ben oui mais non, c'est déprécié parce qu'on ne sait jamais la réaction d'un bouton sauf à la contrôler soi-même ; c'est à l'utilisateur de gérer sa navigation et pour ça il faut qu'il soit toujours en _SELF ;rn(bouton du milieu de la souris ouvre une nouvelle fenêtre)",130108,imu137.infomaniak.ch,315
unanime.eu,Unanime,"Deux petits décrochages repérés :rn1-""Tickets"", de nouveau seulement page 1 disponible.rn2- si l'on a changé un tire (corrigé une faute) et que l'on installe ""Recent"", ""Recent"" donne l'ancien titre avec sa faute.",130119,gw8.ovh.net,
w41k.info,newsnet,"en fait beaucoup de composants font référence à ce qui est en cache, d'où la présence de 'rebuild', qui n'est automatique que si le visiteur découvre un article plus récent (pas si on change le titre, mais ça peut s'arranger) ;",130119,imu137.infomaniak.ch,320
unanime.eu,Unanime,"Prospective Philum :rnPour information, suite (nous avions déjà abordé la question): Wordpress génère désormais de l'ePub directement depuis WP avec le plugin wp2epub !rnVoir le lien ici : http://unanime.eu/158",130120,gw8.ovh.net,
w41k.info,newsnet,"ah okrnc'est intéressant le principe de non-propriété",130121,imu137.infomaniak.ch,327
unanime.eu,Unanime,"J'ai perdu le fil (et les aiguilles) pour placer les tags par catégorie, en navigation, en haut du content (ou dans le menu). (j'utilisais rub-tag)",130122,gw8.ovh.net,
w41k.info,newsnet,"j'ai vu il manque un LOAD pour la condition 'art'",130122,imu137.infomaniak.ch,329
www.unanime.eu,Unanime,"Comment faire pour afficher les mots-clés par rubrique désormais (sans ""rub-tag"" ou quelque chose comme ça... devenue obsolète, puis disparu des écrans radar) ?",130123,gw8.ovh.net,
w41k.info,newsnet,"mais rub_tags n'est pas obsolète (un peu vieillot à la limite)",130123,imu137.infomaniak.ch,333
w41k.info,newsnet,"ah si dis donc il était présenté comme obsolète (rectif ok) ;rnmais ça ne l'empêchait pas de fonctionner",130123,imu137.infomaniak.ch,333
unanime.eu,Unanime,"Là, je comprends mieux: Je l'avais utilisé. Puis je l'ai supprimé par mégarde au lieu de faire un ""hide"". Et là il a complètement disparu de mon serveur ! Est-ce parce que c'est un ""once"" ?rn(moi j'ai pensé qu'il avait disparu parce qu'il était annoncé comme obsolète). Bon, il est localisé où dans le code, (que j'aille le récupérer par ftp) ?",130123,gw8.ovh.net,333
w41k.info,newsnet,"nan il avait disparu des tables,rnil est revenu dans la mise à jour",130123,imu137.infomaniak.ch,333
unanime.eu,Unanime,"Ah !OK ! :-)",130123,gw8.ovh.net,333
unanime.eu,Unanime,"Pour info.: version 130302. Mise a jour manuelle (automatique n'a pas fonctionné).",130302,gw8.ovh.net,
w41k.info,newsnet,"ok merci, on verra à la prochaine si ça vient d'où je crois",130303,imu137.infomaniak.ch,341
unanime.eu,Unanime,"Je confirme. La mise à jour 130304 est bien passée en automatique. Merci.",130304,gw8.ovh.net,341
unanime.eu,Unanime,"Nota : je ne dispose pas de beaucoup de temps en ce moment pour faire une étude exhaustive mais j'ai bien l'impression que l'importation d'articles est devenue beaucoup plus souple et fluide. J'en veux pour preuve un article du monde.fr que j'ai ""rentré""  hier avec une facilité étonnante. rnDe plus, le logiciel est d'ores est déjà le meilleur du monde en ce qui concerne l'accès direct à l'administration en front office.rnBRAVO !",130310,gw8.ovh.net,
w41k.info,newsnet,"merci,rnoh je sais il y a encore des trucs qui se passent pas bien mais en gros c'est vrai que c'est une bonne évolution, quand on sait que les autres en sont encore au copier-coller ; ça permet d'être plus spontané.",130310,imu137.infomaniak.ch,344
unanime.eu,Unanime,"Oui, je veux dire quand on utilise l'admin en ajax depuis la ligne de commande en haut à gauche.",130315,gw8.ovh.net,347
philum.info,newsnet,"ah oui en effet, c'est réglérnmerci",130315,imu137.infomaniak.ch,346
unanime.eu,Unanime,"Serait-il possible d'envisager de pouvoir répondre directement à un message reçu Admin/Users/messages, sans passer par la case mail,( et hélas sans non plus recevoir 20.000 euros)  ?",130321,gw8.ovh.net,
philum.info,newsnet,"quand on reçoit un message sur le site, on y répond grâce au mail que donne l'expéditeur. bien sûr le logiciel vous alerte par mail qu'un message est reçu, et si on veut on peut utiliser l'appli 'mail' du menu apps. si il y a du hameçonnage, ça vient du serveur, ou de plein d'autres endroits (ils ça déferlent en ce moment)",130322,imu137.infomaniak.ch,350
unanime.eu,Unanime,"Un grand merci pour les améliorations du plugin 'book', notamment l'autoread qui fonctionne parfaitement, la nouvelle allocations de pictos.rnPour info : les images ne passent toujours pas chez moi.rn",130323,gw8.ovh.net,
unanime.eu,Unanime,"....En dehors du problème avec les images, 'book' fonctionne bien chez moi si l'on clique sur la flèche pour ouvrir la preview, mais si l'on clique sur le titre de l'article (pour ouvrir l'article avec les commentaires) le logiciel affiche trois fois le choix de la liste en dehors du content en bas de l'écran, l'emplacement pour les commentaires sort également du cadre de l'affichage et va se coller en bas de l'écran à gauche, etc. (problème moins grave qu'avant cette révision)...",130323,gw8.ovh.net,352
unanime.eu,Unanime,"Autre détail : 'book' n'affiche pas le titre des articles listés.rnrnNota : j'ai passé cette dernière version avec book en manuel, n'est pas passée en automatique.",130323,gw8.ovh.net,352
philum.info,dav,"- pb images : je peux voir ?rn- pb mise en forme : le template public a pu être mis à jour (le template privé le supplante s'il existe) ;rn- pb titres : je peux voir ?rn- pb mis à jour : ça arrive quand il y en a deux le même jour...",130323,imu137.infomaniak.ch,352
unanime.eu,Unanime,"Pour voir les problèmes afférents image, affichage, absence de titres etc. chez moi, voir le 'book' fin de l'article : http://unanime.eu/177rnPardon, j'avais oublié de mentionner cette adresse. rnP.S. Je suis sur Firefox (bien entendu)",130323,gw8.ovh.net,352
philum.info,dav,"ok, la table public_template n'était pas mise à jour ; pour l'importer directement : philum.info/msql/users/public_templatern(et en passant, inutile d'ajouter un point après le connecteur ((:book).:table))",130323,imu137.infomaniak.ch,352
unanime.eu,Unanime,"YES !!! C'est tout simplement le plus beau 'book' du monde, désormais ! Quel bel outil ! La classe ! MERCI.",130323,gw8.ovh.net,352
philum.info,newsnet,"c'est un outil qui a une grande marge d'évolution, au mieux il y a des sites comme scribd (sauf que le plugin 'book' pèse 5Ko)",130323,imu137.infomaniak.ch,352
unanime.eu,Unanime,"Disparues de nouveau les pages suivantes (après celle-ci) de 'tickets' (j'ai écrasé mon template privé et voulais avoir recours aux infos déjà demandées par chant des muses pour l'on click sur le thumb ouvrant l'article. ",130325,gw8.ovh.net,
unanime.eu,Unanime,"- Fix pb image dans 'book', test négatif  chez moi.rn- Fix pb affichage dernière page négatif également chez moi (pour moi ce pb concerne le fait que le premier article de la liste continue de s'afficher dans le 'book' pendant la publication de cet article, alors que normalement, pendant la publication d'un article, le dit article n'est pas proposé dans la liste des chapitres du 'book').",130325,gw8.ovh.net,
philum.info,dev,"il faut un template personnalisé, une copie du connecteur du titre mais avec l'image à la place : (_URL§_THUMB:url)",130325,imu137.infomaniak.ch,364
philum.info,dev,"- le correctif portait sur les images qui dépassent,rnla votre est dans un connecteur :img, qui sert à forcer l'importation et qui disparaît après, normalement. il faut l'enlever.rn- heureusement que l'article en cours n'est pas inclus dans le book, c'est pour éviter de tourner en boucle et planter le serveur pendant dix minutes.",130325,imu137.infomaniak.ch,365
unanime.eu,Unanime,"- J'ai enlevé le connecteur :img. qui n'était là que dans l'article n°1 (id : 174 chez moi). Pas de résultat en ce qui concerne l'affichage des images toujours inexistant, ni pour cet article, ni pour les autres du 'book', qui sont, pour mémoire : 174 175 176 177 et maintenant 184. (J'installe le book pour test sur chacun de ces articles).rn",130326,gw8.ovh.net,365
unanime.eu,Unanime,"- J'ai un article du 'book', le premier de la liste qui apparaît dans la liste du 'book' y compris et surtout lorsque je suis sur cet article, (d'où mon message, point 2), car ça ne le fait pas pour les autres articles.rn",130326,gw8.ovh.net,365
unanime.eu,Unanime,Merci,130326,gw8.ovh.net,364
unanime.eu,Unanime,"Je précise, l'erreur se produit lorsque l'on clique sur un lien de tag ou d'article contenant un book",130327,gw8.ovh.net,373
philum.info,dev,"ok mettez juste le plugin book à jour,rnc'est le connecteur plup qui est en dev, pour ouvrir book dans une popup",130327,imu137.infomaniak.ch,373
unanime.eu,Unanime,"pour info, j'ai mis à jour suite à votre message et ça fonctionnait. Mais une nouvelle amélioration de la version est intervenue depuis qui a du écraser cette mise à jour du plugin book. Retour à la même erreur d'affichage.",130327,gw8.ovh.net,373
unanime.eu,Unanime,"...j'ai voulu dire en mode inverse vidéo blanc sur fond noir avec pictos rouges.",130327,gw8.ovh.net,378
unanime.eu,Unanime,"autre pour info : la popup qui ouvre les videos n'ouvre plus que les numéros d'ID de la video",130329,gw8.ovh.net,
philum.info,newsnet,"ok, vu, pardon, merci !",130329,imu137.infomaniak.ch,380
philum.info,newsnet,"en fait ""ne s'affiche pas"" n'est pas ""n'est pas visible""",130329,imu137.infomaniak.ch,380
philum.info,newsnet,"un système de surveillance de présence des modules critiques a été ajouté (en l'occurrence, celui de la largeur artificielle)rn(en fait la vidéo s'ouvrait mais en taille zéro, ce qui a été interdit, aussi, en plus, au cas où)",130329,imu137.infomaniak.ch,381
unanime.eu,Unanime,Merci,130329,gw8.ovh.net,381
unanime.eu,Unanime,"Nota pour info : le 'book' n'aime pas trop  être enfermé dans le connecteur  (:table). Cela met hors service le bouton de titre situé en bas à gauche du chapitre que l'on st en train de lire. ",130329,gw8.ovh.net,
philum.info,newsnet,"ah mais rien n'aime ni n'a besoin d'être dans une table à part des données tabulaires ;rnet on va finir par les remplacer par des tables en css",130329,imu137.infomaniak.ch,387
unanime.eu,Unanime,"Rires... Non non, ce n'est pas la peine ! Ce connecteur est bien pratique et plus direct pour l'utilisateur.",130330,gw8.ovh.net,387
unanime.eu,Unanime,"... Seulement une petite mention supplémentaire dans l'aide, pour avertir : cela serait parfait !",130330,gw8.ovh.net,387
philum.info,newsnet,"cette balise va surement être dépréciée car elle ralentit beaucoup l'affichage, et elle nous empêche de couper le chapeau de l'articlernil y a aussi déjà un connecteur :divtable",130330,imu137.infomaniak.ch,387
unanime.eu,Unanime,"AH, merci !",130330,gw8.ovh.net,387
philum.info,newsnet,"ah oui, correctif mis au mauvais endroit...",130330,imu137.infomaniak.ch,394
unanime.eu,Unanime,"Essais infructueux pour affichage couverture book en mode preview. La table des matières (dans une petite popup) ne s'affiche pas lorsque l'on clique dessus... Sauf en de très très très rares occasions !",130331,gw8.ovh.net,
philum.info,newsnet,"ah dis donc,rnbon on supprime le scroller fait maison, et on devra en créer un plus tard, je remets le scroll de windows en attendant, et le multifenêtrage permettra d'ouvrir plusieurs modules en différents endroits et états sans conflits",130331,imu137.infomaniak.ch,396
unanime.eu,Unanime,"Purée, ça fontionne, quel plaisir ! rn(Dommage, le scroller fait maison était d'un chic !)rnBon, maintenant, comment fait-on pour personnaliser la couverture du book ?rnDans le template 'book' ?",130331,gw8.ovh.net,396
unanime.eu,Unanime,"...Je voudrais, en effet, pouvoir rajouter sur la couverture le nom de l'auteur, l'éditeur, et éventuellement introduire une  image, le tout pour chaque 'book'. ",130331,gw8.ovh.net,396
philum.info,dev,"ben on peut pas personnaliser la couverture, pas avant d'avoir pensé ce que doit être la couverture d'un book : minimaliste, un saut de ligne par mot, et voilà ! hauteur variable.rnl'idée d'avoir un design insensible aux css locaux, le même pour tous, était une bonne idée.rnaprès ça doit être possible de se fabriquer un connecteur qui renvoie des données mises en forme et un lien vers le book.",130331,imu137.infomaniak.ch,396
unanime.eu,Unanime,"Avec  'book', disparition de la table des matières ( la petite popup qui s'ouvre à partir du moment où l'on clicke sur la couverture située dans la preview). Auparavant, je cliquais deux fois, j'obtenais deux petites tables...",130331,gw8.ovh.net,
unanime.eu,Unanime,"... Je cliquais ensuite sur l'une pour choisir mon chapitre, et le book s'ouvrait au chapitre désiré. Mais il restait la seconde à côté. Très pratique parce qu'elle restait sous forme de fenêtre TdM. Ce n'est plus le cas. Dés qu'on clique sur la seconde dorénavant, elle se transforme également popup book indexée sur le chapitre choisi.",130331,gw8.ovh.net,401
philum.info,dev,"ah oui c'était une émergence non voulue, la preuve d'un défaut ! ça ne marche pas tout le temps, pour ça il faudrait une sorte de télécommande, mais bon, maintenant qu'il est stable...",130331,imu137.infomaniak.ch,401
unanime.eu,Unanime,"ok, ce sera très  important car bien plus ergonomique, d'avoir (par la suite) une table des matières qui s'ouvre automatiquement dans une popup à côté. rnComme quoi les petits défauts...  !",130331,gw8.ovh.net,401
unanime.eu,Unanime,"Je pense que c'est en pleine évolution alors je n'ose intervenir, mais voici quelques remarques  à la volée suites aux dernières versions. J'effacerai ensuite:rn130403 : 'reconstruire cache' ouvre une popup et ne reconstruit plus le cache.rn'book' l'ascenseur windows a disparu. La popup ouverte depuis la vignette de couverture est trop large.rn130402: 'book' l'ascenseur et le défilement maison qui étaient restés, une fois le produit stabilisé lors de la dernière version, ont disparu.",130403,gw8.ovh.net,
philum.info,newsnet,"avec une largeur fixe on peut supprimer le scroll windows dans book, rnil faut etre sûr d'avoir les bonnes largeurs avec les nouvelles modifs (refaire un save_widths dans css)rnet aussi les templates ont été individualisés (restrictions 'local'), il faut vérifier que c'est celui par défaut, ou le perso inspiré de celui-làrn- rebuild est corrigé, une popup s'affiche",130403,imu137.infomaniak.ch,406
unanime.eu,Unanime,"'book' . Retour de l'ascenseur maison. Le 'book' fonctionne de nouveau, et bien ...  Il semble que les changements mettent du temps à être digérés en ce moment par les différents organes logiciel. Je ne sais pas si cela ne provient pas de l'hébergeur.",130403,gw8.ovh.net,
philum.info,newsnet,"quand il y a un doute pour relancer les caches css et js il faut rafraîchir la page, bien que l'update s'en charge normalement",130404,imu137.infomaniak.ch,409
philum.info,newsnet,"1 : non, google se débrouille assez bien, les articles liés sont associés dans les résultats à l'article de la page. rn2 : seo, connais pas, bouton 'no bots' : les robots s'y fient s'ils veulent, et certains sont killés d'office.rn",130406,imu137.infomaniak.ch,413
unanime.eu,Unanime,"Salutations distinguées pour un CMS de plus en plus distingué !",130410,gw8.ovh.net,
philum.info,newsnet,"Merci, rnet aussi de ne pas avoir fait remarquer que la mise à jour avait sauté ! (par inadvertance)",130411,imu137.infomaniak.ch,416
unanime.eu,Unanime,"Rires... Je sais bien que ça saute de temps en temps, l'essentiel est que je sais maintenant que  ça fonctionne. rn",130411,gw8.ovh.net,416
unanime.eu,Unanime,"Un problème qui persiste (en tout cas chez moi) : chaque fois que j'ouvre  une nouvelle session, je suis obligé depuis plusieurs versions, de faire 'logdown' pour obtenir les pages précédent la page d'accueil (en cliquant sur les numéros de page). Même punition pour les pages précédent les pages d'accueil des différentes catégories.rn",130412,gw8.ovh.net,
philum.info,newsnet,"Ah ok dans les pages, j'ai trouvé, il fallait que le sélecteur ignore qu'on soit dans la Home pour prendre le bon chemin",130412,imu137.infomaniak.ch,419
unanime.eu,Unanime,"Merci !",130412,gw8.ovh.net,419
unanime.eu,Unanime,"Parmi les choses qui ont nettement évolué (avec la dernière série de releases), à noter que ces derniers temps, lorsqu'il s'agissait de faire un update manuel, ça ne tournait pas rond. Je ne sais pas pourquoi, mais il fallait s'y prendre fichier par ficher, et ça mettait du temps. rnEn ce moment, peut-être grâce aux allègements, c'est du grand vrai bonheur. On peut pratiquer les update_all et ça dure 3 secondes.",130412,gw8.ovh.net,
philum.info,newsnet,"ah désolé je savais pas, rnsur le serveur de Patrick la mise à jour arrive même à ne prendre que 0,5 secondes http://philum.nous-les-dieux.org/rnc'est vrai qu'il est même plus puissant et rapide qu'à l'époque où il pesait 200Ko de moins",130412,imu137.infomaniak.ch,422
philum.nous-les-dieux.org,pat,"Heuh, c'est seulement pour signaler la chose... Hein, vous voudrez bien effacer ensuite...",130413,ks212745.kimsufi.com,425
unanime.eu,Unanime,"Je confirme ici ce que j'ai marqué ci-dessus.",130413,gw8.ovh.net,427
philum.info,newsnet,"ok vu merci !",130414,imu137.infomaniak.ch,429
unanime.eu,Unanime,"Suite aux améliorations ds les dernières versions, je procède actuellement à de nouveaux essais (pour mémoire mon AMT était stabilisé à 800 et ça marchait)... (C'est comme le taux d'hémoglobine)rnC'est prometteur. Je tiendrai au courant. ... Là, j'ai essayé un 5000, du coup j'ai perdu mon article 188 dans la manipe. Tant mieux,( il était mal parti , il faisait déjà 11 minutes et je l'ai dans la tête de toute façon)",130415,gw8.ovh.net,
philum.info,newsnet,"il est possible de récupérer le dernier enregistrement qui a échoué dans tools/last_saved",130415,imu137.infomaniak.ch,431
philum.info,newsnet,"et de faire des backups des articles...",130415,imu137.infomaniak.ch,431
w41k.info,newsnet,"à propos d'une question sur la jonction moteur de recherche interne et google : rnrncrawl-66-249-74-217.googlebot.comrn0416:1639.41rnrech:ovnisrnrneh oui direct ils ont compris comment faire",130416,imu137.infomaniak.ch,
philum.info,dev,"Le chat peut afficher les [connecteurs:b]",130423,imu137.infomaniak.ch,
unanime.eu,Unanime,"[good !:b]",130426,gw8.ovh.net,436
philum.info,newsnet,"ah oui mercirnil y a un chamboulement avec les plugins, car des protocoles sont devenus obsolètes",130426,imu137.infomaniak.ch,438
philum.info,newsnet,"en fait non, les tickets reçoivent finalement les miniconn:b (sans crochets, utilisés dans le chat et les commentaires) parce que c'est lieu technique",130426,imu137.infomaniak.ch,436
unanime.eu,Unanime,"Ah bon, good alors !:b:i mais ça fonctionne seulement avec le dernier mot:b ?",130429,gw8.ovh.net,436
philum.info,newsnet,"héhé, oui:i parce que il faut déterminer un début, alors c'est le dernier espace, mais bon c'est expérimentalrnl'intérêt des miniconn c'est surtout de fabriquer des connecteurs à la volée pour les vidéos et les images",130429,imu137.infomaniak.ch,436
unanime.eu,Unanime,"Bon:b d'accord:i !rnP.S.: oui, en effet, ça peut être vraiment un plus pour images et videos à la volée",130429,gw8.ovh.net,436
philum.info,newsnet,"j'ai fais quelques essais sur le chat, c'est rapide et on n'a souvent besoin de n'appliquer le style qu'à un mot.rnrnla concaténation est intéressante, c'est comme ça que marche le ""basic"" (pour écrire des plugins) mais comme il faut le réécrire, en passant ça a donné l'idée du micionn. rnrnle but c'est de pouvoir l'expliquer le plus rapidement possible au visiteur qui ne connaît rien. ",130429,imu137.infomaniak.ch,436
unanime.eu,Unanime,"Essai:b  x2t9u3:video",130430,gw8.ovh.net,
unanime.eu,Unanime,"Po:i mal:i !:i:b",130430,gw8.ovh.net,449
philum.info,newsnet,"vous pouvez faire des essais sur le chat, où on peut aussi effacer ses commentaires http://www.youtube.com/watch?v=DDIcaqYxYqQ",130430,imu137.infomaniak.ch,449
philum.info,newsnet,"ça marche pas après un saut de ligne...",130430,imu137.infomaniak.ch,449
unanime.eu,Unanime,"Euh, rn1 - chez moi, l'offre de commentaire a disparu sous les articles (ce qui signifie qu'on ne peut plus placer de commentaire). Ai-je omis une nouvelle commande ?rn2 - le déroulement du pavé des icônes est toujours là, mais pas dans les popup où les boutons ouvrant le détail des icônes sont toujours bloqués.rn",130501,gw8.ovh.net,
unanime.eu,Unanime,"Bonjour,rnJe trouve assez extraordinaire de pouvoir exporter un 'book' désormais. Je ferai une tentative pour en exporter un sur un site WP, par exemple.rnEnvisagez-vous que l'on puisse faire des 'book' en ePub ?",130501,gw8.ovh.net,
philum.info,dev,"il se peut que la réforme mysql ait bousculé les restrictions, les commentaires sont fermés et il y a sûrement un décalage",130501,imu137.infomaniak.ch,453
philum.info,dev,"surtout le plugin favs exporte les favoris dans un book, lui même exportable dans une iframe",130501,imu137.infomaniak.ch,454
unanime.eu,Unanime,"Exact, je suis bête, ma parole ! commentaires fermés dans restrictions, en effet !",130501,gw8.ovh.net,453
philum.info,newsnet,"et pour les sous-menus de l'admin ?",130501,imu137.infomaniak.ch,453
unanime.eu,Unanime,"Grave:b tout de même, de planer autant. Pour le batch, évidemment, c'est pareil !",130501,gw8.ovh.net,453
philum.info,dev,"ok j'ai vu le bug",130502,imu137.infomaniak.ch,464
unanime.eu,Unanime,"ça commence à le faire pas mal du tout !",130503,gw8.ovh.net,468
philum.info,newsnet,"bon on abandonne la concaténation, l'erreur ayant trop de répercussion",130503,imu137.infomaniak.ch,
unanime.eu,Unanime,"Po grave , on aura tout de même découvert dans la fumée de la bataille que la concaténation détermine la structure du réel (ou objet-pensée): pensée:objet:pensée:objet:objet:pensée, etcrnEt on aura pondu un article pour les implications quotidiennes du genre de celui-ci : unanime.eu-194rn;-)rnrn",130503,gw8.ovh.net,470
philum.info,newsnet,"bon finalement ils peuvent rester !rn(la concaténation est une structure du langage, parfois d'imbrication)",130504,imu137.infomaniak.ch,470
philum.info,newsnet,"les tickets passent sur le chat,rnle canal 'tickets' est différent des autres car je reçois les appels par mail",130504,imu137.infomaniak.ch,
unanime.eu,Unanime,"Ouf, ça me fait bien plaisir:b:i !",130504,gw8.ovh.net,470
