796375792099979265,EdLlewellynFCDO,"Ed Llewellyn","Paris, France","Former British Ambassador to France, Monaco 2016-21. Chief of Staff, No 10 2010-16. Worked for Chris Patten as Governor of Hong Kong and Paddy Ashdown in Bosnia",http://pbs.twimg.com/profile_images/1327934377335074816/70CF9pB9_normal.jpg
14353202,FCDOGovUK,"Foreign, Commonwealth & Development Office",London,"We lead the UK's work internationally, promoting the UK overseas, defending our security, projecting our values, reducing poverty and tackling global challenges",http://pbs.twimg.com/profile_images/1410475345623588864/R-uhCvrC_normal.jpg
16139649,montie,"Tim Montgomerie &#127468;&#127463;",,"Contributor to @reactionlife. Freelance C/conservative pundit. Don't follow me if you object to frequent photos of the beautiful Cathedral city of Salisbury!",http://pbs.twimg.com/profile_images/1425239683005550593/paSfD-DZ_normal.jpg
14073022,adamboultonSKY,"Adam Boulton",London,"Presenter All Out Politics. Editor at Large.  I RT what amuses or interests me inc. criticism. RT is not an endorsement. I mute or block trolls.",http://pbs.twimg.com/profile_images/540177846950322176/5QDcboxm_normal.jpeg
25984418,bbcnickrobinson,"Nick Robinson",,"Presenter, Today & Political Thinking, BBC Radio 4. Former BBC/ITV Political Editor. Author, Election Notebook & Live from Downing Street",http://pbs.twimg.com/profile_images/870258194198802432/c-6Cegbb_normal.jpg
14700117,MayorofLondon,"Mayor of London, Sadiq Khan",London,"Husband, father and Mayor of the greatest city in the world. He/Him. Tweets before 9 May 2016 are from the previous Mayor.",http://pbs.twimg.com/profile_images/1391151272959660034/I2A54a4c_normal.jpg
117366399,FraserNelson,"Fraser Nelson","London, via Nairn","Editor of The Spectator, @telegraph columnist.Also on board of Centre for Social Justice. Try a month of The Spectator free https://t.co/ecmDFw3tdY",http://pbs.twimg.com/profile_images/536266345902374912/tM65Rgrr_normal.jpeg
78433570,andrewrawnsley,"Andrew Rawnsley",London,"The Observer's award-winning Chief Political Commentator, critically-acclaimed broadcaster and author of Number One best-seller, The End of the Party.",http://pbs.twimg.com/profile_images/675149520/Andrew_Rawnsley_new_2010_c_Angus_Muir_normal.JPG
56169454,Dannythefink,"Daniel Finkelstein",,"Times columnist, Conservative peer, Dad of 3. Please read the article not just the headline. Book of columns Everything In Moderation in paperback July 22 2020.",http://pbs.twimg.com/profile_images/644101708814123008/H-2FhLSP_normal.jpg
14810076,YouGov,YouGov,Earth,"Exploring what the world thinks, every day",http://pbs.twimg.com/profile_images/1278292448998014979/OTnBjzwe_normal.jpg
130104942,BBCJonSopel,"Jon Sopel",UK,"Jon Sopel, BBC North America Editor. Not silenced. Just a bit muffled",http://pbs.twimg.com/profile_images/1249891268097912832/IbD8BDyT_normal.jpg
14281853,Conservatives,Conservatives,,"&#128153; Conservative Party Conference returns to Manchester 
3&#65039;&#8419; - 6&#65039;&#8419; October 2021
&#127903; Buy your tickets today &#10549;&#65039;",http://pbs.twimg.com/profile_images/1410590387375329283/utvNTqSz_normal.jpg
14104027,grantshapps,"Rt Hon Grant Shapps MP","Welwyn Hatfield, Hertfordshire","Welwyn Hatfield MP and Secretary of State for Transport",http://pbs.twimg.com/profile_images/1395400250941136898/O8hM9jG__normal.jpg
111013369,nickherbertcbe,"Nick Herbert","Arundel, England","Member @UKHouseofLords, PM's Special Envoy on LGBT Rights, Chair @CollegeofPolice @CAupdates @project4md @governsmarter @GlobalTBCaucus @APPGTB @Equality_Caucus",http://pbs.twimg.com/profile_images/1204964079976296448/A2QQGIDT_normal.jpg
125270251,GregHands,"Greg Hands","Chelsea & Fulham","Conservative MP for Chelsea & Fulham. Minister of State for Trade Policy at @tradegovuk.",http://pbs.twimg.com/profile_images/1242527257761124354/z3qGmUPC_normal.jpg
112398730,Jeremy_Hunt,"Jeremy Hunt",,"MP for South West Surrey and Chair of @CommonsHealth",http://pbs.twimg.com/profile_images/1154361132490117125/IOjlyWab_normal.jpg
47921172,DavidWooding,"David Wooding","London, U.K.","Journalist & broadcaster. Sun on Sunday Political Editor, Kopite & classical music lover. Also on facebook https://t.co/a5ru5cd8sa",http://pbs.twimg.com/profile_images/2767793027/beceb15e5e179ecf227751b6b5f58e96_normal.jpeg
158038382,tombradby,"tom bradby",,"Anchor, News at Ten.",http://pbs.twimg.com/profile_images/3094619077/1daf0796a0e4928a9030470ef3f12276_normal.jpeg
66673916,MattChorley,"Matt Chorley",London,"&#128251;@TimesRadio 10am-1pm Mon-Fri &#127911; Host of @TimesRedBox podcast. &#9997;&#65039; Saturday columnist in @TheTimes. &#127908; Occasional stand-up. Master of none",http://pbs.twimg.com/profile_images/1414905960284442626/QpQWpC1L_normal.jpg
810372954,SCrabbPembs,"Stephen Crabb",,"Member of Parliament for Preseli Pembrokeshire. Welsh Conservative.",http://pbs.twimg.com/profile_images/1217924662178521090/Mi6Uhklp_normal.jpg
61183568,bbclaurak,"Laura Kuenssberg","Westminster, mostly....","Watch https://t.co/UZszWzvN0J 
Listen https://t.co/ml9Nn2voUw
https://t.co/z2WlyNKXUb",http://pbs.twimg.com/profile_images/723072389534371840/3AhowpH3_normal.jpg
3131144855,BorisJohnson,"Boris Johnson","United Kingdom","Prime Minister of the United Kingdom and @Conservatives leader. Member of Parliament for Uxbridge and South Ruislip.",http://pbs.twimg.com/profile_images/1414358967371935744/yAadRgF-_normal.jpg
16558943,politicshome,PoliticsHome,"Westminster, London","Fast, informed, comprehensive coverage of UK politics. 
With debate & insight from Parliament via @TheHouseMag.",http://pbs.twimg.com/profile_images/1070255831269163008/iI8zLbPQ_normal.jpg
612473,BBCNews,"BBC News (UK)",London,"News, features and analysis. For world news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport. Our Instagram: BBCNews",http://pbs.twimg.com/profile_images/1150718511129477120/2N_GW7HR_normal.png
5402612,BBCBreaking,"BBC Breaking News","London, UK","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.",http://pbs.twimg.com/profile_images/1150716997254209536/M7gkjsv5_normal.jpg
2653613168,PhilipHammondUK,"Philip Hammond",London,"Former Chancellor of the Exchequer",http://pbs.twimg.com/profile_images/1044155159390179328/wsikFTb3_normal.jpg
532241033,LiamFox,"Dr Liam Fox MP","North Somerset","Member of Parliament for North Somerset. International Trade Secretary (2016-19) & Defence Secretary (2010-11). https://t.co/R6ThYjYT58 https://t.co/NqcFKFWVSp",http://pbs.twimg.com/profile_images/1314210526306598913/a0eBoB1O_normal.jpg
8170292,BBCr4today,"BBC Radio 4 Today","London, UK","@BBCRadio4 flagship news programme, on air 6-9am weekdays and 7-9am on Saturday. Talk about the programme #R4Today",http://pbs.twimg.com/profile_images/1411922681394610182/QPMQHGkf_normal.jpg
950249762,HouseofCommons,"UK House of Commons","Westminster, London, UK","The House of Commons checks and challenges the Government's work, makes laws and debates topical issues. Find out what's happening and how you can take part.",http://pbs.twimg.com/profile_images/1278247772827930625/28WadOta_normal.jpg
245513323,SayeedaWarsi,"Sayeeda Warsi","Heart is always in Yorkshire","Peer @UKHouseoflLords ProVC @BoltonUni Prof @YourStMarys Former Cabinet minister Author -The Enemy Within https://t.co/gfSV7CcQOR Rep @curtisbrowntalent",http://pbs.twimg.com/profile_images/1361702321688829952/KlWQAwN5_normal.jpg
16133363,ShippersUnbound,"Tim Shipman","In the thick of it","Political Editor, Sunday Times. Author of All Out War (https://t.co/qNz4BLqhF5) & Fall Out (https://t.co/cuhpr2nGsd) Speaking: https://t.co/svGo7vvVQM",http://pbs.twimg.com/profile_images/979040979020845057/v9iYfpYj_normal.jpg
19825835,MattHancock,"Matt Hancock","London & Suffolk","MP for West Suffolk",http://pbs.twimg.com/profile_images/1311368965160136704/ypBTtBpn_normal.jpg
19758148,halfon4harlowMP,"Robert Halfon MP -Working Hard for Harlow-","Harlow, Essex","Working Hard for Harlow & the Villages. Chair of @CommonsEd. Please don't message me on Twitter, please email.",http://pbs.twimg.com/profile_images/1323711804007161856/vZBPqdq6_normal.jpg
136004952,afneil,"Andrew Neil",,"Chairman The Spectator magazine group. Chairman and prime time presenter GB News. Former Editor of The Sunday Times and BBC political presenter.",http://pbs.twimg.com/profile_images/1347879299496423425/Z8G-59IL_normal.jpg
56679400,CCHQPress,"CCHQ Press &#129330;&#128567;&harr;&#65039;",Westminster,"Official Conservative Party Press Office - providing snippets of news and commentary from CCHQ.",http://pbs.twimg.com/profile_images/1346033386981371905/iHdNFcjk_normal.jpg
